ts;arrecadacao
1993/01;30,59527577
1993/02;34,65490036
1993/03;41,58395817
1993/04;58,1918616
1993/05;87,17627702
1993/06;71,66910459
1993/07;88,51626459
1993/08;111,8345196
1993/09;174,5909419
1993/10;214,5828808
1993/11;338,2822436
1993/12;479,3730822
1994/01;710,8716278
1994/02;916,3800162
1994/03;1283,061038
1994/04;2141,210423
1994/05;2823,301128
1994/06;4192,901681
1994/07;4681,484001
1994/08;5500,303627
1994/09;5798,487277
1994/10;5695,881577
1994/11;5894,484696
1994/12;7393,337331
1995/01;6682,015444
1995/02;5800,060588
1995/03;7131,862072
1995/04;6425,532319
1995/05;8256,628498
1995/06;7389,202545
1995/07;6700,151232
1995/08;6852,777465
1995/09;6892,380382
1995/10;7170,583965
1995/11;7076,285074
1995/12;7628,063739
1996/01;7080,33304
1996/02;6427,543743
1996/03;10227,80449
1996/04;7243,38718
1996/05;7503,505312
1996/06;7241,214366
1996/07;7797,215826
1996/08;7436,116738
1996/09;8049,115661
1996/10;7900,13956
1996/11;7885,98637
1996/12;10304,18886
1997/01;8405,507717
1997/02;7476,993475
1997/03;9387,36952
1997/04;9668,30942
1997/05;8716,864681
1997/06;8599,737634
1997/07;9743,215702
1997/08;9959,91446
1997/09;9080,630647
1997/10;9728,15759
1997/11;9122,041265
1997/12;12283,43744
1998/01;10806,88054
1998/02;13908,60166
1998/03;13908,60166
1998/04;12190,59669
1998/05;9375,35956
1998/06;9016,041503
1998/07;10490,96195
1998/08;16360,10369
1998/09;10154,17748
1998/10;9576,798348
1998/11;8920,078385
1998/12;11712,36116
1999/01;10461,94966
1999/02;12498,08978
1999/03;13350,12874
1999/04;11815,01228
1999/05;10181,34341
1999/06;11238,94438
1999/07;13772,91346
1999/08;13394,42176
1999/09;14065,01626
1999/10;12662,82557
1999/11;13054,43044
1999/12;15021,53791
2000/01;14368,48267
2000/02;14125,93235
2000/03;15480,8557
2000/04;13853,18735
2000/05;13066,54155
2000/06;13593,70358
2000/07;14179,66125
2000/08;17251,99802
2000/09;13788,41714
2000/10;15793,46677
2000/11;15331,25777
2000/12;17144,89794
2001/01;17491,95116
2001/02;13237,6208
2001/03;15012,32546
2001/04;16812,33075
2001/05;15975,09692
2001/06;15821,55894
2001/07;17192,88421
2001/08;16897,79431
2001/09;15601,42235
2001/10;18210,99259
2001/11;16176,03528
2001/12;18279,24205
2002/01;22680,845
2002/02;17503,65094
2002/03;17285,79017
2002/04;19831,72058
2002/05;18065,01887
2002/06;17348,18211
2002/07;21280,8193
2002/08;18714,70714
2002/09;22820,25578
2002/10;23924,31833
2002/11;21027,44312
2002/12;22522,61428
2003/01;25727,59558
2003/02;20457,79824
2003/03;19973,14308
2003/04;25162,39207
2003/05;22192,39682
2003/06;19533,29097
2003/07;23393,174
2003/08;19757,57475
2003/09;21242,04898
2003/10;25568,25889
2003/11;24518,62324
2003/12;25822,96567
2004/01;28170,08803
2004/02;22708,52538
2004/03;24455,3305
2004/04;27265,75895
2004/05;24578,79415
2004/06;26566,40282
2004/07;28154,38883
2004/08;34107,38309
2004/09;35224,60792
2004/10;37644,00862
2004/11;25748,40986
2004/12;32619,8314
2005/01;33561,32514
2005/02;24984,38963
2005/03;27766,43973
2005/04;31737,22359
2005/05;26800,7917
2005/06;31241,66843
2005/07;31189,3546
2005/08;28811,12077
2005/09;27839,77125
2005/10;32297,25034
2005/11;29642,07742
2005/12;36641,86037
2006/01;33895,92904
2006/02;27567,85753
2006/03;29195,60118
2006/04;44905,45951
2006/05;38980,86505
2006/06;44562,22977
2006/07;43315,39837
2006/08;41197,1373
2006/09;44698,66778
2006/10;46974,85139
2006/11;41984,51404
2006/12;56307,93023
2007/01;49877,86342
2007/02;41749,80777
2007/03;45227,72289
2007/04;51044,98739
2007/05;45424,17726
2007/06;49073,09852
2007/07;50395,92865
2007/08;48717,96979
2007/09;48480,07719
2007/10;54779,15739
2007/11;52414,02449
2007/12;65631,99128
2008/01;62595,9456
2008/02;48143,81882
2008/03;51001,24716
2008/04;59753,86477
2008/05;50430,54113
2008/06;55747,03682
2008/07;61960,15615
2008/08;53929,53353
2008/09;55662,94401
2008/10;65493,00616
2008/11;54728,66935
2008/12;66228,72507
2009/01;61442,44761
2009/02;45105,50422
2009/03;53260,71997
2009/04;57697,60734
2009/05;49834,6745
2009/06;54034,41305
2009/07;58672,2836
2009/08;52052,51685
2009/09;51469,99452
2009/10;68760,04137
2009/11;72089,86948
2009/12;73868,55384
2010/01;74495,82999
2010/02;55082,06465
2010/03;60875,89008
2010/04;72460,79977
2010/05;62635,27196
2010/06;62991,84849
2010/07;69612,61085
2010/08;64362,01645
2010/09;65087,94566
2010/10;76073,76274
2010/11;69599,81096
2010/12;93241,10649
2011/01;91071,09441
2011/02;64139,23216
2011/03;70983,96381
2011/04;85155,07716
2011/05;71533,93754
2011/06;82726,23387
2011/07;90247,2521
2011/08;74607,3944
2011/09;75100,4247
2011/10;88736,64557
2011/11;78965,70394
2011/12;96625,10495
2012/01;102579,2393
2012/02;71902,46525
2012/03;82366,94676
2012/04;92628,00707
2012/05;77971,00555
2012/06;81107,48855
2012/07;87946,6535
2012/08;77074,25435
2012/09;78214,92578
2012/10;90515,96672
2012/11;83706,98485
2012/12;103245,6768
2013/01;116065,5042
2013/02;76052,3934
2013/03;79612,89318
2013/04;98712,87139
2013/05;87858,30122
2013/06;85682,77095
2013/07;94292,8404
2013/08;83956,20539
2013/09;84212,36267
2013/10;100998,5323
2013/11;112517,1369
2013/12;118364,0976
2014/01;123667,15
2014/02;83142,96904
2014/03;86624,63922
2014/04;105885,3289
2014/05;87896,54331
2014/06;91387,34053
2014/07;98816,43531
2014/08;94377,04136
2014/09;90720,83495
2014/10;106216,4714
2014/11;104472,3983
2014/12;114743,5
2015/01;125281,8669
2015/02;89981,62612
2015/03;94112,14887
2015/04;109241,1775
2015/05;91500,22592
2015/06;97090,6966
2015/07;104867,989
2015/08;93738,26906
2015/09;95239,28727
2015/10;103530,0618
2015/11;95461,15705
2015/12;121501,9911
2016/01;129384,8506
2016/02;87850,75267
2016/03;95778,54245
2016/04;110895,2211
2016/05;95218,70539
2016/06;98128,87617
2016/07;107415,6916
2016/08;91881,56177
2016/09;94769,98509
2016/10;148800,8182
2016/11;102245,4162
2016/12;127607,2168
2017/01;137391,7177
2017/02;92358,29656
2017/03;98994,20616
2017/04;118046,5401
2017/05;97693,8262
2017/06;104099,8461
2017/07;109948,1146
2017/08;104206,2487
2017/09;105594,8688
2017/10;121143,774
2017/11;115088,6849
2017/12;137841,5486
2018/01;155619,4949
2018/02;105122,3818
2018/03;105659,1715
2018/04;130806,4791
2018/05;106192,361
2018/06;110855,0371
2018/07;129614,9303
2018/08;109751,1058
2018/09;110663,5701
2018/10;131880,4096
2018/11;119420,356
2018/12;141528,5683
2019/01;160425,5207
2019/02;115924,4979
2019/03;109854,0654
2019/04;139029,6459
2019/05;113278,0096
2019/06;119946,3978
2019/07;137734,5459
2019/08;119951,3487
2019/09;113933,472
2019/10;135202,3937
2019/11;125160,9921
2019/12;147500,7214
2020/01;174990,5654
2020/02;116430,3597
2020/03;109717,509
2020/04;101154,2078
2020/05;77415,35156
2020/06;86258,1949
2020/07;115990,224
2020/08;124504,5876
2020/09;119825,1548
2020/10;153938,0786
2020/11;140101,2148
2020/12;159064,5787
