ano;trim;consumo
1960;1;1335
1960;2;1443
1960;3;1529
1960;4;1447
1961;1;1363
1961;2;1501
1961;3;1576
1961;4;1495
1962;1;1464
1962;2;1450
1962;3;1611
1962;4;1612
1963;1;1516
1963;2;1660
1963;3;1738
1963;4;1652
1964;1;1639
1964;2;1754
1964;3;1839
1964;4;1736
1965;1;1699
1965;2;1812
1965;3;1901
1965;4;1821
1966;1;1763
1966;2;1937
1966;3;2001
1966;4;1894
1967;1;1829
1967;2;1966
1967;3;2068
1967;4;1983
1968;1;1939
1968;2;2099
1968;3;2201
1968;4;2081
1969;1;2008
1969;2;2232
1969;3;2299
1969;4;2204
1970;1;2152
1970;2;2313
1970;3;2393
1970;4;2278
1971;1;2191
1971;2;2402
1971;3;2450
1971;4;2387
1972;1;2391
1972;2;2549
1972;3;2602
1972;4;2529
1973;1;2454
1973;2;2647
1973;3;2689
1973;4;2549
