ano;mes;importacao
01/01/1968;1;133,8
01/02/1968;2;124,9
01/03/1968;3;122,8
01/04/1968;4;135,8
01/05/1968;5;164,8
01/06/1968;6;168,5
01/07/1968;7;168,4
01/08/1968;8;187,3
01/09/1968;9;156,1
01/10/1968;10;164,2
01/11/1968;11;170,4
01/12/1968;12;164,3
01/01/1969;1;153,4
01/02/1969;2;140,6
01/03/1969;3;142,7
01/04/1969;4;157,9
01/05/1969;5;169,9
01/06/1969;6;165,5
01/07/1969;7;163,5
01/08/1969;8;200,4
01/09/1969;9;173,8
01/10/1969;10;168
01/11/1969;11;156,4
01/12/1969;12;201,1
01/01/1970;1;172
01/02/1970;2;132
01/03/1970;3;177
01/04/1970;4;164
01/05/1970;5;171
01/06/1970;6;195
01/07/1970;7;200
01/08/1970;8;214
01/09/1970;9;226
01/10/1970;10;259
01/11/1970;11;306
01/12/1970;12;291
01/01/1971;1;239,4
01/02/1971;2;230,7
01/03/1971;3;277,4
01/04/1971;4;251,4
01/05/1971;5;260,2
01/06/1971;6;282,3
01/07/1971;7;278
01/08/1971;8;291,4
01/09/1971;9;288
01/10/1971;10;297
01/11/1971;11;252,9
01/12/1971;12;296,8
01/01/1972;1;258,6
01/02/1972;2;292,4
01/03/1972;3;332,2
01/04/1972;4;312,1
01/05/1972;5;361,6
01/06/1972;6;385
01/07/1972;7;338,6
01/08/1972;8;404
01/09/1972;9;347
01/10/1972;10;397,9
01/11/1972;11;400,4
01/12/1972;12;400,5
01/01/1973;1;370,7
01/02/1973;2;390,3
01/03/1973;3;405,3
01/04/1973;4;418,2
01/05/1973;5;479,2
01/06/1973;6;436,9
01/07/1973;7;534,1
01/08/1973;8;588,7
01/09/1973;9;520,1
01/10/1973;10;696,7
01/11/1973;11;626,4
01/12/1973;12;725,6
01/01/1974;1;773,5
01/02/1974;2;827,6
01/03/1974;3;923,2
01/04/1974;4;907,4
01/05/1974;5;1212,5
01/06/1974;6;988,2
01/07/1974;7;1191,3
01/08/1974;8;1228
01/09/1974;9;1102
01/10/1974;10;1223
01/11/1974;11;1136,1
01/12/1974;12;1128,5
